Последние 10 алертов
2025-04-01T00:00:00+03:00 - 2025-04-24T15:50:38+03:00
[ТД] КУЛЗ

name,userName,id,tenantName,severity,correlationRuleName,tenantID,priority,status,firstSeen
R077_Обнаружено вредоносное ПО,,29e230f1-b8d6-4536-8dc1-a737c6c18ca7,[ТД] КУЛЗ,Medium,R077_Обнаружено вредоносное ПО,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,2,New,2025-04-22T13:41:22+03:00
R062_Действия над группой из командной строки,Кирилл Бобров,6a466f5b-db2b-4116-9431-be4aff781ac8,[ТД] КУЛЗ,Low,R062_Действия над группой из командной строки,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,1,In incident,2025-04-21T11:53:21+03:00
R223_Сбор информации о процессах,Кирилл Бобров,2c4f77d7-e855-4da0-a0f2-48e1fa4c99eb,[ТД] КУЛЗ,Low,R223_Сбор информации о процессах,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,1,In incident,2025-04-21T11:38:46+03:00
R221_Сбор информации о группах,Кирилл Бобров,2c6b3153-85ab-4bb4-ab8a-c2d3c97c8b15,[ТД] КУЛЗ,Low,R221_Сбор информации о группах,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,1,In incident,2025-04-21T05:16:48+03:00
R220_Сбор информации об учетных записях,Кирилл Бобров,8afa1d1b-f1b2-40ed-82f5-f0f99d3bd4a8,[ТД] КУЛЗ,Low,R220_Сбор информации об учетных записях,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,1,In incident,2025-04-19T07:41:30+03:00
R109_Использование известных зловредных фреймворков для эксплуатации уязвимостей,,7a8cf9a3-89b1-4f59-8477-cc40cd3fe17d,[ТД] КУЛЗ,Low,R109_Использование известных зловредных фреймворков для эксплуатации уязвимостей,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,1,New,2025-04-18T19:32:40+03:00
R295_Манипуляции с системой непривилегированным процессом,Кирилл Бобров,ef171b65-32df-425d-985b-f26e61762b07,[ТД] КУЛЗ,High,R295_Манипуляции с системой непривилегированным процессом,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,3,In incident,2025-04-18T15:20:27+03:00
R062_Действия над группой из командной строки,Кирилл Бобров,c1cbe6ab-4303-45a7-abad-5272dfb2bd87,[ТД] КУЛЗ,Low,R062_Действия над группой из командной строки,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,1,In incident,2025-04-18T15:10:27+03:00
R062_Действия над группой из командной строки,Кирилл Бобров,d18b9220-9a01-405f-9fb7-54c228f66081,[ТД] КУЛЗ,Low,R062_Действия над группой из командной строки,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,1,In progress,2025-04-18T14:55:57+03:00
R110_Использование подозрительных опций в командах PowerShell,,116a3a58-36ee-4e53-af34-29431b212d36,[ТД] КУЛЗ,Medium,R110_Использование подозрительных опций в командах PowerShell,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0,2,New,2025-04-18T14:42:34+03:00

Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T15:50:38+03:00
[ТД] КУЛЗ

tenantName,name,weight,count,id,tenantID
[ТД] КУЛЗ,OTD14-1100220,1,1,4002157b-bb04-4641-870e-1562b0b374f4,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD14-1501213,1,1,29de2ef2-0b87-4e96-b8a4-c6bc90ec9230,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD4-1310220,1,1,908010b1-f7c6-4161-9070-45e9380e3bd7,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD35-431016,1,1,c6b2cf85-482a-422a-a154-b8f1cb9c24cf,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD4-911119,1,1,c1221c25-93a1-4bf2-9a1a-56bb034792f2,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD14-141018,1,1,a11d268b-08da-482b-ae54-20f9fa9104f5,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD6-1171211,1,1,888a5cea-8af1-4e38-9f86-ca5b8a8f34bf,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD4-1270220,1,1,a262c971-f078-45e6-874b-afbd1684bc23,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD14-821119,1,1,40fad6d3-c641-4fc2-ad83-46b31ff5310c,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD5-1590220,1,1,540e34ed-500c-4212-b1a0-715c14bf65c7,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD89-1520220,1,1,7d6dff48-69b8-4b9b-8bd1-e07baf3118e8,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD5-800220,1,1,f22c5e1f-13be-4bb2-9c72-25fe4710f4b0,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD1-1430220,1,1,7a3b61c6-fba9-430f-8db7-ded426136c4c,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD22-880220,1,1,6669e9c3-36c7-4f82-9c94-06cafd3db6cb,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD5-780220,1,1,a9d92b98-74cd-400d-a390-f206b08b97da,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD20-1560220,1,1,2df053f5-6e12-41e4-9790-78f004a58183,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD3-100319,1,1,2f67e5fb-299e-4b86-a28a-6b8a1e1433b0,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD4-1290220,1,1,db39f30a-6b31-4361-87e2-dfbc4fee4485,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD18-1530220,1,1,9ce1cf60-8c95-4a4e-a2e1-a111c60091bb,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD08-1510220,1,1,cc06f852-ba61-4709-bae7-b7eaca9c42af,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,CEH41-1420220,1,1,5041a7ec-ee96-41c5-9dae-acbc55d26b81,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD4-1370220,1,1,0f737f92-d990-45e3-826c-6b47c5054ab4,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD4-1360220,1,1,3f5427ac-3470-48df-8178-915a5af20c18,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD3-1390220,1,1,199959c4-b71a-47ea-a13f-0deb099ce8f7,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD26-891015,1,1,6fa8ccbc-273c-4f5f-b19f-8e2040cf9cd3,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD4-1280220,1,1,59fdf475-30e1-40da-be84-c537e5895bec,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,CEH66-921119,1,1,4310e7dd-9b4c-4cb0-ae04-9e3daa44ba2a,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD4-1560220,1,1,4be44b89-0796-4046-9663-8c07ac6c74f2,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD11-1200220,1,1,a26ed2c4-0424-4c49-ba1a-2d3e10c638b5,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD12-030120,1,1,6b0a6de9-5569-4bfe-ba55-3f9dee658181,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD14-500819,1,1,98717d51-dae3-4aba-8c2e-aa809f2ab468,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD28-1170220,1,1,b311f195-1448-4959-9075-775bebb43b59,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD28-1140220,1,1,b62fe5bb-873b-40cb-8b54-f76eb04365b2,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD30-640220,1,1,da220d5b-23c7-4a49-934f-f7dfc36a8b15,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD14-791119,1,1,72e4ff68-c6ae-4af6-bfb1-cb6ad081ef6e,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD5-750220,1,1,6979f7a1-e8b2-465e-8f99-3a56e1b16c9a,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD11-901119,1,1,8605a61b-b8b5-47af-99f5-255f3788a77e,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD5-760220,1,1,196cd3d9-bb48-48e6-8eee-d8183251da59,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0
[ТД] КУЛЗ,OTD22-480212,1,1,cb488a29-57b9-453c-a2a1-b55d76d90b73,5d4c2480-cf9a-4da9-8a41-6636d70f4ee0

Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T15:50:38+03:00
[ТД] КУЛЗ

value,metric
R295_Манипуляции с системой непривилегированным процессом,10
R220_Сбор информации об учетных записях,8
"P005;KSC;Обнаружено ВПО, невозможно удалить",6
R062_Действия над группой из командной строки,6
R105_Подозрение на обфускацию кода с использованием спецсимволов,5
R424_Подозрительные параметры входа в систему,4
R406_Получение учетных данных через GUI-запросы,3
R221_Сбор информации о группах,3
R224_Сбор информации о системе,3
R302_Манипуляции с атрибутами файла,3
R229_Сбор информации о службах,2
R003_Удаленный вход под учетной записью локального администратора,2
R077_Обнаружено вредоносное ПО,2
R102_Доступ к WinAPI,2
R107_Использование сжатия данных,2
R060_Большое количество манипуляций с группами за короткий промежуток времени,2
R109_Использование известных зловредных фреймворков для эксплуатации уязвимостей,2
R110_Использование подозрительных опций в командах PowerShell,2
R223_Сбор информации о процессах,1
P003;KSC;Обнаружено ВПО на множестве хостов (по имени ВПО),1
R051_Учетная запись была добавлена в группу подозрительным пользователем,1
R423_Подозрительный процесс компиляции файла,1
R054_Удаление группы в ОС Windows подозрительным пользователем,1
R080_Всплеск заражений ВПО,1
R099_Манипуляции с задачами по расписанию,1
R035_Возможный подбор пароля методом перебора учетных записей,1
R083_Обнаружены следы использования нежелательных утилит,1
P004;KSC;Обнаружено ВПО на множестве хостов (по хешу ВПО),1
R089_Обнаружены возможные следы действий программ-вымогателей,1
R061_Действия над учетной записью,1
R293_Аномальное дерево процессов для Windows,1
P002;KES;Отключена защита на хосте,1
Отключение правила на 1 час,1

Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:50:38+03:00
[ТД] КУЛЗ

metric,value
65,Closed
10,In incident
6,New
1,In progress

"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T15:50:38+03:00
[ТД] КУЛЗ

metric,value
1577044131,Network connection
1186535026,RegistryEvent (Object create and delete)
1017953928,RegistryEvent (Value Set)
873349364,An account was logged off.
394150255,An account was successfully logged on.
362112106,Group membership information.
292861203,Process creation
291639696,PipeEvent (Pipe Connected)
171249957,FileCreate
123035532,
62801029,PipeEvent (Pipe Created)
59540506,redential Manager credentials were read.
50348971,ProcessAccess
39880133,Выполнение конвейера
36948470,The domain controller attempted to validate the credentials for an account.
32263980,Special privileges assigned to new logon.
28543700,DNSEvent (DNS query)
22809633,An attempt was made to access an object.
16813636,Драйвер
12206317,Запуск команды
12191403,Остановка команды
11148735,Process terminated
9606977,A Kerberos service ticket was requested.
7867952,A new process has been created.
7619855,A process has exited.
7598731,A security-enabled local group membership was enumerated.
7204944,A Kerberos authentication ticket (TGT) was requested.
5590634,Error
4706140,Kerberos pre-authentication failed.
4497635,A logon was attempted using explicit credentials.
4265118,FileCreateStreamHash
4005025,A user's local group membership was enumerated.
2915502,An account failed to log on.
2684937,Image loaded
2651322,CreateRemoteThread
2414883,The handle to an object was closed.
2282519,A handle to an object was requested.
2085378,Driver loaded
1827436,An object was deleted.
1290397,Cryptographic operation.
1286891,Key file operation.
1116759,A handle to an object was requested with intent to delete.
1074947,An attempt was made to duplicate a handle to an object.
979657,Общие
962299,Ведение журнала/Восстановление
958729,Агент Центра обновления Windows
538379,Key migration operation.
493231,Событие состояния службы
439829,The Windows Filtering Platform has blocked a connection.
434659,Auditing settings on object were changed.
416892,ProcessTampering (Process image change)
413397,A Kerberos service ticket was renewed.
389886,Pipeline Execution Details
379648,R424_01_Новая сессия пользователя с назначением подозрительных привилегий
379647,R424_Подозрительные параметры входа в систему
374366,R031_01_Вход с разных хостов на один Windows хост под одной учетной записью
347993,Permissions on an object were changed.
342546,Сервер
310417,An attempt was made to query the existence of a blank password for an account.
308778,Vault credentials were read.
290950,The file could be improperly signed without page hashes or corrupt due to unauthorized modification.
286230,Запуск консоли PowerShell
283134,An account was mapped for logon.
264258,Ведение журнала и восстановление
209540,The state of a transaction has changed.
204050,The system time was changed.
196997,Служба поиска
185911,Provider Lifecycle
178715,Именованный канал IPC PowerShell
158347,User initiated logoff
120113,Средство сбора данных
119846,A member was added to a security-enabled local group.
116827,The Windows Firewall Service has started successfully.
115127,The Windows Firewall Driver has started successfully.
114477,The Per-user audit policy table was created.
112469,Code integrity determined that the image hash of a file is not valid
109366,An Active Directory replica destination naming context was modified.
105744,A member was removed from a security-enabled local group.
105644,События сбоев приложения
102638,Windows is starting up.
97639,An operation was performed on an object.
84072,A process changed a file creation time
59264,Sysmon service state changed
53429,Engine Lifecycle
49234,A scheduled task was updated.
44523,The following filter was present when the Windows Filtering Platform Base Filtering Engine started.
43164,R110_Использование подозрительных опций в командах PowerShell
42607,R110_01_Использование подозрительных опций в командах PowerShell
41437,An attempt was made to unregister a security event source.
40679,An attempt was made to register a security event source.
40624,Веб-Контроль
38123,Windows Firewall did not apply the following rule
34158,The Windows Filtering Platform blocked a packet.
33435,The screen saver was invoked.
31448,The screen saver was dismissed.
30930,Выполнить удаленную команду
24871,A network share object was deleted.
24618,A computer account was changed.
23820,Установка или обновление драйверов устройств.
19626,The workstation was locked.
19394,Завершение работы службы
17373,Обработка события
17228,Обновление АБД
17087,An attempt was made to change an account's password.
16999,A primary token was assigned to process.
16460,A cryptographic self test was performed.
16108,Boot Configuration Data loaded.
15930,A Windows Filtering Platform callout has been changed.
15506,Отсутствует
14552,R220_Сбор информации об учетных записях
14469,Теневое копирование
14463,R220_02_Сбор информации об учетных записях стандартными средствами Windows
13215,The workstation was unlocked.
12595,Запуск отражателя UMDF
12536,Установка драйвера
12144,A directory service object was modified.
11911,The following callout was present when the Windows Filtering Platform Base Filtering Engine started.
11881,Installation or update of device drivers.
11726,A user account was changed.
11479,R281_01_Установка сервиса не из системной директории
10995,R281_02_Установка нового сервиса из общедоступной директории
10578,Миграция драйвера
10429,A new external device was recognized by the system.
9641,Резервное копирование
9452,R221_Сбор информации о группах
9369,A session was disconnected from a Window Station.
9322,R062_01_Действия над группой из командной строки (cmd)
9322,R221_01_Обнаружение сбора информации о группах с помощью инструментов Windows
8994,Повреждение базы данных
8818,R406_01_Получение учетных данных через GUI-запросы (Windows)
8818,R406_Получение учетных данных через GUI-запросы
8369,Vault Find Credential.
6176,Вход
6152,A session was reconnected to a Window Station.
5521,R109_01_Использование известных зловредных фреймворков для эксплуатации уязвимостей
5521,R109_Использование известных зловредных фреймворков для эксплуатации уязвимостей
5472,Защита от файловых угроз
5134,R062_Действия над группой из командной строки
4892,Автоматическое обновление
4879,A network share object was added.
4818,R296_13_Регистрация DLL с помощью regsvr32.exe из файла с иным расширением
4699,Служба событий
4603,Защита
4219,R295_01_Манипуляции с реестром непривилегированным процессом (reg)
4213,R295_Манипуляции с системой непривилегированным процессом
4213,A change has been made to Windows Firewall exception list. A rule was deleted.
4127,Поиск вирусов TD
4112,R060_Большое количество манипуляций с группами за короткий промежуток времени
3913,Контроль устройств
3432,A change has been made to Windows Firewall exception list. A rule was added.
3212,Защита от сетевых угроз
3189,Защита от веб-угроз
3139,Предотвращение вторжений
3120,Защита от эксплойтов
3113,Защита от почтовых угроз
3113,Анализ поведения
2956,TM
2899,Оперативная дефрагментация
2820,Настройка драйвера после установки
2616,ServiceConfigurationChange
2402,Запуск службы
2366,События диагностики исчерпания ресурсов
2316,R003_02_Удаленный вход под учетной записью администратора в Windows
2316,R003_Удаленный вход под учетной записью локального администратора
2256,The following sub-layer was present when the Windows Filtering Platform Base Filtering Engine started.
2140,LMS
2135,Share Information:Share Name
2022,Resource attributes of the object were changed.
2005,Адаптивный контроль аномалий
1948,A network share object was modified.
1881,R423_02_Компиляция с помощью csc.exe из подозрительной директории
1881,R423_Подозрительный процесс компиляции файла
1849,Агент центра обновления Windows
1824,The following provider was present when the Windows Filtering Platform Base Filtering Engine started.
1730,Диагностика успешно завершена
1646,A computer account was deleted.
1599,Страничное кэширование базы данных
1578,Быстродействие
1355,An attempt was made to reset an account's password.
1291,A user account was enabled.
1252,A Windows Filtering Platform sub-layer has been changed.
1242,Logon Cache
1198,Windows Firewall has changed the active profile.
1168,A Windows Filtering Platform provider has been changed.
1135,Очистка журнала
1062,Обновление
1001,HTTP Setup Trace Task
986,R105_04_Подозрительные PowerShell команды. Подозрение на обфускацию
986,R105_Подозрение на обфускацию кода с использованием спецсимволов
887,Инициализация CLR
788,The Windows Firewall Service blocked an application from accepting incoming connections on the network.
786,A security-enabled local group was changed.
767,R051_Учетная запись была добавлена в группу подозрительным пользователем
758,A security-enabled local group was created.
717,Выполнение службы
637,A scheduled task was deleted.
634,A scheduled task was created.
631,Startup of the UMDF reflector
594,R089_Обнаружены возможные следы действий программ-вымогателей
594,R089_02_Подозрительное массовое переименование или удаление файлов (Windows)
586,A user account was deleted.
585,HTTP Configuration Property Trace Task
569,A member was added to a security-enabled global group.
561,Другие системные события
555,R110_03_Загрузка и выполнение кода на PowerShell
547,Подключиться
542,A user account was created.
541,R058_01_Локальная учетная запись в ОС Windows была создана подозрительным пользователем
536,The Windows Firewall Service was unable to parse the new security policy. The service will continue with currently enforced policy.
530,The Windows Firewall Service has been stopped.
495,The Windows Firewall Service was unable to retrieve the security policy from the local storage. The service will continue enforcing the current policy.
481,Event Service
469,SVC
462,Поиск вредоносного ПО
458,%1
444,R293_01_Аномальное дерево процессов для Windows
443,A user account was disabled.
422,A member was removed from a security-enabled global group.
412,Other System Events
375,R052_Учетная запись была удалена из группы подозрительным пользователем
324,A Windows Filtering Platform provider context has been changed.
265,Сведения о классе модуля поддержки
262,Инициализация/Завершение
258,Управление защитой
254,Служба лицензирования удаленных рабочих столов запущена.
247,Файловый Антивирус
231,P002;KES;Отключена защита на хосте
230,R291_01_Вызов внешних ресурсов для системных приложений Windows (regsvr32)
208,R302_03_Подозрительные изменения разрешений и атрибутов с использованием инструментов
