Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:12+03:00
[ТД] Респиратор

tenantName,name,weight,count,id,tenantID
[ТД] Респиратор,PC060653,1,1,58267c46-937c-43d4-8614-65c0732a932d,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060807,1,1,ae7979e2-1bed-48db-a2ac-87d0817a42ae,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060734,1,1,56a236f6-8f80-4651-9008-a0fbb8355e27,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060945,1,1,28d7a055-3a7c-4b0e-a6d9-9eca8024a714,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061102,1,1,eb40db1f-5f50-4fce-a409-55f98864c9c5,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060731,1,1,53b2ed50-c590-4f8d-96bd-739066d1a44f,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061033,1,1,65e871d4-b54c-4746-a4bc-61de391885b0,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060756,1,1,3df19aaf-de08-49a3-b119-7406b021ee76,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060857,1,1,5319e295-7425-4834-ab31-28f9534f8096,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060793,1,1,5f66d815-02b9-4cee-9dde-247cb2d8d323,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060917,1,1,d307e121-d3fd-4c67-8dee-362d0f59bd6c,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060965,1,1,83d102f8-35a7-4278-9723-245e07e73eac,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061345,1,1,5a0bcd08-4910-455c-81fc-af00d6a298a4,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061530,1,1,466a004b-eb6d-40c1-ab8b-9b3e4b882c94,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060760,1,1,1edee3a6-914f-4544-8fc9-7dff9cabd832,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061059,1,1,1795ee4e-e28c-4021-9f8d-7859d500e9d1,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060904,1,1,10957e3e-fee5-4406-83d0-8abd30f7dded,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061089,1,1,4c23abea-9bec-4b50-b76f-8dbd3d07d1b9,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060710,1,1,025fbb7a-c346-4eb4-9396-a2c103fe79b4,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060574,1,1,ce4ae0ec-8569-4048-a9d1-3b0f4965b5e6,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060451,1,1,30ffeb25-892b-4b46-86cc-34da5cec7fe2,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060909,1,1,a5490a62-93ef-4f35-9dee-80f3c90ed343,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,SRH-024-BCKP,1,1,40d8edbc-522a-4deb-823c-6fa08061a2f5,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061310,1,1,60fe6a5a-fed5-4a6a-83bc-eafd27c963b5,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061098,1,1,b2d48145-376a-45b7-9790-12fa4ffaad10,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061000,1,1,a12f6176-cbd4-4d4e-8be5-4791fdf330f9,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,71-KO-IKONS06,1,1,00d94bad-b8b1-42dd-afc5-7edfe6216d96,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061051,1,1,169762ca-2f14-4052-852c-9231ada0c461,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061013,1,1,0f2e9394-7bb3-4885-afa6-82fa8b6786a6,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061103,1,1,869f4cbf-de00-4c5f-a94c-360a05efc0c6,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061427,1,1,9263b887-46f9-40b2-a4f5-e0b6ffd688a7,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC060891,1,1,57a95a66-51f2-415b-bc03-a2755cc89d8c,12ae9f33-3b33-40ef-946e-6d2946468cf4
[ТД] Респиратор,PC061554,1,1,9eba4f77-25c7-4b13-b491-e8ecf9a83ef4,12ae9f33-3b33-40ef-946e-6d2946468cf4

"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T15:53:12+03:00
[ТД] Респиратор

metric,value
86559085,RegistryEvent (Object create and delete)
37197975,Network connection
10454661,FileCreate
7231774,firewall
6591323,The handle to an object was closed.
6089215,PipeEvent (Pipe Connected)
6051441,A handle to an object was requested.
5545238,RegistryEvent (Value Set)
4886358,An account was successfully logged on.
4234491,An account was logged off.
3299537,A network share object was checked to see whether client can be granted desired access
3232901,An attempt was made to duplicate a handle to an object.
2133924,Credential Manager credentials were read.
1548835,Special privileges assigned to new logon.
1351473,DNSEvent (DNS query)
1264812,Process creation
1226350,Group membership information.
1172470,The domain controller attempted to validate the credentials for an account.
1152659,Защита от сетевых угроз
1112317,A Kerberos service ticket was requested.
732543,Image loaded
491163,A logon was attempted using explicit credentials.
430889,PipeEvent (Pipe Created)
246440,Поиск вредоносного ПО на рабочих станциях
241451,A security-enabled local group membership was enumerated.
238046,A Kerberos authentication ticket (TGT) was requested.
236281,Веб-Контроль
211501,Provider Lifecycle
181048,A new process has been created.
167747,A process has exited.
137369,Synchronization of a replica of an Active Directory naming context has begun.
137346,Synchronization of a replica of an Active Directory naming context has ended.
96777,Error
86449,Creating Scriptblock text
82788,An operation was performed on an object.
62642,Modifying activity Id and correlating
54619,
52869,Engine Lifecycle
52479,Indirect access to an object was requested.
42869,Permissions on an object were changed.
41264,A security-enabled local group was changed.
41065,Cryptographic operation.
41040,Key file operation.
40984,Обновление БД сигнатур вирусов KES на всех устройствах
38837,Автоматическая установка Агент + KES
37856,R031_01_Вход с разных хостов на один Windows хост под одной учетной записью
30768,Process terminated
29634,An attempt was made to access an object.
27636,A directory service object was modified.
27563,core
27120,Kerberos pre-authentication failed.
24767,Runspace state changed
24430,A Windows Filtering Platform filter has been changed.
19207,A scheduled task was updated.
15418,A user's local group membership was enumerated.
14577,Windows PowerShell has started an IPC listening thread
13894,The state of a transaction has changed.
12074,Защита
11222,CreateRemoteThread
11044,An attempt was made to query the existence of a blank password for an account.
10698,Инвентаризация
9700,R401_Попытка обращения на запрещенный ресурс не из браузера
9698,RawAccessRead
8688,An attempt was made to create a hard link.
8497,Vault credentials were read.
8382,The system time was changed.
7623,A privileged service was called.
7287,An account failed to log on.
7032,PowerShell console is starting up
7028,PowerShell console is ready for user input
6878,Поиск вредоносного ПО
6235,Creating RunspacePool object
6219,Creating Runspace object
6204,Opening RunspacePool
5878,FileCreateStreamHash
5801,Error Message
5568,Key migration operation.
4384,Обновление БД сигнатур вирусов KSWS 11
4181,An Active Directory replica destination naming context was modified.
4116,Обновление
3956,User initiated logoff
3912,A Kerberos service ticket was renewed.
3309,Загрузка обновлений в хранилище Сервера администрирования
2946,A user account was changed.
2758,An attempt was made to reset an account's password.
2662,A process changed a file creation time
2430,Поиск уязвимостей и требуемых обновлений
1853,A registry value was modified.
1664,Driver loaded
1254,ProcessTampering (Process image change)
1100,The event logging service has shut down
1062,Boot Configuration Data loaded.
1023,A network share object was accessed
931,A primary token was assigned to process.
806,The Windows Filtering Platform has blocked a connection.
650,A Windows Filtering Platform callout has been changed.
648,The workstation was locked.
636,Синхронизация обновлений Windows Update
610,The workstation was unlocked.
571,Pipeline Execution Details
571,Command Invocation
561,A computer account was changed.
530,Windows Firewall did not apply the following rule
431,nat
358,Защита от почтовых угроз
355,An attempt was made to change an account's password.
336,Sysmon service state changed
330,ТЕСТ - Установка требуемых обновлений и закрытие уязвимостей на компьютерах сотрудников 28 ОИТ
294,Обработка события
230,A session was disconnected from a Window Station.
229,ProcessAccess
224,A session was reconnected to a Window Station.
199,R106_Подозрительные PowerShell команды. Подозрение на кодирование команд
199,R106_01_Подозрительные PowerShell команды. Подозрение на кодирование команд
198,Certificate Services published the certificate revocation list (CRL).
180,Certificate Services approved a certificate request and issued a certificate.
177,A change has been made to Windows Firewall exception list. A rule was deleted.
176,A change has been made to Windows Firewall exception list. A rule was added.
175,Certificate Services received a certificate request.
169,ТЕСТ - Скачивание обновлений на компьютеры сотрудников 28 ОИТ
154,Защита от файловых угроз
142,R207_02_Один тип сетевой атаки на нескольких хостах за короткий промежуток времени (KSC)
142,R207_Сканирование на уязвимости
105,Vault Find Credential.
95,A security-enabled global group was changed.
95,Защита от веб-угроз
93,R055_Изменение группы в ОС Windows подозрительным пользователем
92,Полная антивирусная проверка серверов KES
87,R222_Сбор информации о сетевых папках
87,R222_01_Сбор информации о сетевых папках через PowerShell
83,A member was added to a security-enabled global group.
72,The following filter was present when the Windows Filtering Platform Base Filtering Engine started.
68,R051_Учетная запись была добавлена в группу подозрительным пользователем
62,A Windows Filtering Platform sub-layer has been changed.
60,System audit policy was changed.
58,A member was removed from a security-enabled global group.
54,R077_Обнаружено вредоносное ПО
54,R077_02_KSC. Обнаружено вредоносное ПО
51,Security policy in the group policy objects has been applied successfully.
50,An attempt was made to unregister a security event source.
50,R300_01_Запуск Windows shell критичными процессами ОС
50,An attempt was made to register a security event source.
47,R102_Доступ к WinAPI
47,R102_01_Доступ к WinAPI с использованием PowerShell
43,A network share object was added.
43,R052_Учетная запись была удалена из группы подозрительным пользователем
41,R071_Получен доступ к ADMIN$
40,A Windows Filtering Platform provider has been changed.
40,A trusted logon process has been registered with the Local Security Authority.This logon process will be trusted to submit logon requests.
