Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:04+03:00
[ТД] Электропривод

value,metric
R240_Манипуляции с локальным межсетевым экраном,13
R105_Подозрение на обфускацию кода с использованием спецсимволов,9
R282_Остановка сервиса через CLI,8
R110_Использование подозрительных опций в командах PowerShell,7
R302_Манипуляции с атрибутами файла,6
R051_Учетная запись была добавлена в группу подозрительным пользователем,5
R423_Подозрительный процесс компиляции файла,5
R280_Изменение параметров сервиса Windows,5
"R288_Манипуляции с файлами, имеющими нестандартные расширения",4
R109_Использование известных зловредных фреймворков для эксплуатации уязвимостей,4
R055_Изменение группы в ОС Windows подозрительным пользователем,4
R291_Вызов внешних ресурсов для системных приложений Windows,4
R107_Использование сжатия данных,3
R205_Обнаружен новый DNS сервер,3
R080_Всплеск заражений ВПО,3
R089_Обнаружены возможные следы действий программ-вымогателей,2
R293_Аномальное дерево процессов для Windows,2
R295_Манипуляции с системой непривилегированным процессом,2
R059_Большое количество манипуляций с учетными записями за короткий промежуток времени,2
R296_Подозрительные аргументы при запуске системной утилиты,2
R099_Манипуляции с задачами по расписанию,2
R221_Сбор информации о группах,1
R078_Обнаружено большое количество вредоносных объектов на одном хосте,1
R052_Учетная запись была удалена из группы подозрительным пользователем,1
R102_Доступ к WinAPI,1
R079_Несколько хостов заражены одним типом вируса,1
R224_Сбор информации о системе,1
R060_Большое количество манипуляций с группами за короткий промежуток времени,1
R071_Получен доступ к ADMIN$,1
R222_Сбор информации о сетевых папках,1
R084_Использование ПО для удаленного администрирования,1
R152_Запущенный процесс имеет подозрительный родительский процесс,1
R223_Сбор информации о процессах,1
R035_Возможный подбор пароля методом перебора учетных записей,1

Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:04+03:00
[ТД] Электропривод

metric,value
89,Closed
15,New
3,In incident
1,In progress

Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:04+03:00
[ТД] Электропривод

id,tenantID,tenantName,name,weight,count
903c29cd-7bea-4ab1-b942-683188969d2d,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,KBEA50,1,1
5f8c28be-f72d-40a1-ac21-799ea9e6806a,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,KASSA01,1,1
2785cc35-f76c-4b41-a9cb-2e9948484231,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,KO30,1,1
0be93631-4822-405d-b535-d051e573fcd0,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,VKS,1,1
48366e6b-9ed3-4e60-b5ef-1431bd6e9bfc,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,OTD12PC53,1,1
b962fe0e-314a-44d2-b5d9-478c51873ffe,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,BN10,1,1
d42ecd84-0547-471e-8b66-467f6a5d07d4,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,HRM21,1,1
05044306-aea9-4de3-a33e-4666b9b44e73,17f758ed-acec-40dd-9022-cec548a56ed3,[ТД] Электропривод,OTD12PC52,1,1

"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T15:54:04+03:00
[ТД] Электропривод

metric,value
942071174,A privileged service was called.
264319532,An operation was attempted on a privileged object.
97010772,Network connection
54454668,A handle to an object was requested.
46501712,A network share object was checked to see whether client can be granted desired access
40985493,RegistryEvent (Object create and delete)
23499387,RegistryEvent (Value Set)
23333404,The domain controller attempted to validate the credentials for an account.
22049644,PipeEvent (Pipe Connected)
21349421,An account was successfully logged on.
19829422,A Windows Filtering Platform filter has been changed.
18265515,An account was logged off.
17638534,The handle to an object was closed.
13931289,A new process has been created.
13751273,A process has exited.
12000908,
7335634,FileCreate
7136109,An attempt was made to duplicate a handle to an object.
6716103,Process creation
4597487,Error
3904489,Permissions on an object were changed.
3486758,The Windows Filtering Platform has blocked a connection.
3396519,Special privileges assigned to new logon.
2981611,Credential Manager credentials were read.
2966677,A network share object was accessed
1944508,PipeEvent (Pipe Created)
1546143,DNSEvent (DNS query)
1277369,A scheduled task was updated.
1252611,Pipeline Execution Details
1183774,Command Invocation
958945,A logon was attempted using explicit credentials.
713389,A rule was listed when the Windows Firewall started.
686035,Image loaded
633250,Provider Lifecycle
551398,An attempt was made to access an object.
415893,An operation was performed on an object.
347387,A Windows Filtering Platform provider context has been changed.
337914,An account failed to log on.
290010,Windows Firewall did not apply the following rule
224841,A security-enabled local group membership was enumerated.
193005,A change has been made to Windows Firewall exception list. A rule was added.
191121,A change has been made to Windows Firewall exception list. A rule was deleted.
187873,A Windows Filtering Platform callout has been changed.
170849,Engine Lifecycle
165720,Modifying activity Id and correlating
144295,R223_02_Сбор информации о процессах стандартными средствами Windows
141595,The following filter was present when the Windows Filtering Platform Base Filtering Engine started.
138421,Process terminated
137369,An object was deleted.
129354,RawAccessRead
125730,Creating Scriptblock text
123799,R223_Сбор информации о процессах
112844,A scheduled task was created.
112815,A scheduled task was deleted.
105831,Started invocation of ScriptBlock
105741,Completed invocation of ScriptBlock
80631,The state of a transaction has changed.
73335,The Windows Filtering Platform has allowed a connection.
71437,R031_01_Вход с разных хостов на один Windows хост под одной учетной записью
70188,FileCreateStreamHash
68757,A trusted logon process has been registered with the Local Security Authority.This logon process will be trusted to submit logon requests.
68613,CreateRemoteThread
67872,Windows PowerShell has started an IPC listening thread
65546,An attempt was made to create a hard link.
64908,The following callout was present when the Windows Filtering Platform Base Filtering Engine started.
64755,A service was installed in the system.
61233,Driver loaded
55033,A new external device was recognized by the system.
46768,Защита от файловых угроз
43503,PowerShell console is starting up
43496,PowerShell console is ready for user input
43091,A network share object was modified.
42086,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.
38581,Runspace state changed
38486,A security-enabled local group was changed.
34522,The Windows Filtering Platform has permitted a bind to a local port.
32001,Auditing settings on object were changed.
29985,A handle to an object was requested with intent to delete.
26734,Общие
26449,ProcessTampering (Process image change)
25110,A security package has been loaded by the Local Security Authority.
21194,The workstation was locked.
20652,The workstation was unlocked.
20035,A Windows Filtering Platform sub-layer has been changed.
19834,Key file operation.
19786,Cryptographic operation.
19359,A network share object was added.
18212,ServiceConfigurationChange
