Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:17+03:00
[ТД] Полет

No Data

"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:17+03:00
[ТД] Полет

metric,value
1650143710,The Windows Filtering Platform has allowed a connection.
73874498,A network share object was deleted.
58665350,The handle to an object was closed.
50843293,The Windows Filtering Platform has permitted a bind to a local port.
30359302,A handle to an object was requested.
25176782,An attempt was made to duplicate a handle to an object.
9912356,An attempt was made to access an object.
9416636,A Windows Filtering Platform filter has been changed.
3914765,
3425400,An account was successfully logged on.
3184318,An account was logged off.
2613372,Group membership information.
2217649,An operation was performed on an object.
1740090,Permissions on an object were changed.
965204,A token right was adjusted.
924372,Special privileges assigned to new logon.
900748,Сведения о конвейерном выполнении
870103,Выполнение конвейера
839397,Share Information:Share Name
795834,A scheduled task was updated.
690873,redential Manager credentials were read.
431345,A rule was listed when the Windows Firewall started.
401678,The Windows Filtering Platform blocked a packet.
396318,The Windows Filtering Platform has blocked a connection.
361895,The Password Policy Checking API was called.
326104,The domain controller attempted to validate the credentials for an account.
280364,Предотвращение вторжений
206232,Windows Firewall did not apply the following rule
191117,A Kerberos service ticket was requested.
178525,Обновление
172096,A security-enabled local group membership was enumerated.
167635,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.
161799,An account failed to log on.
125309,A security-enabled local group was changed.
117516,The state of a transaction has changed.
113917,Остановка команды
113863,Запуск команды
86486,A Windows Filtering Platform callout has been changed.
79272,Kerberos pre-authentication failed.
69471,System Integrity
65774,A Kerberos authentication ticket (TGT) was requested.
60557,A logon was attempted using explicit credentials.
50152,Synchronization of a replica of an Active Directory naming context has begun.
50151,Synchronization of a replica of an Active Directory naming context has ended.
42361,Защита
36244,Поиск вредоносного ПО
28997,A service was installed in the system.
27763,Cryptographic operation.
27668,Key file operation.
27137,A trusted logon process has been registered with the Local Security Authority.This logon process will be trusted to submit logon requests.
24906,Remote Desktop Services
24541,Жизненный цикл поставщика
23177,A new process has been created.
22076,A change has been made to Windows Firewall exception list. A rule was added.
20958,A change has been made to Windows Firewall exception list. A rule was deleted.
20362,Целостность системы
17617,Key migration operation.
16173,Windows Firewall has changed the active profile.
15756,Indirect access to an object was requested.
15449,An object was deleted.
12413,A security package has been loaded by the Local Security Authority.
8994,A process has exited.
8296,R031_01_Вход с разных хостов на один Windows хост под одной учетной записью
7698,Жизненный цикл обработчика
7644,A Windows Filtering Platform sub-layer has been changed.
7561,An attempt was made to query the existence of a blank password for an account.
7253,A network share object was added.
6816,A directory service object was modified.
6740,Запуск консоли PowerShell
6667,Auditing settings on object were changed.
6336,A Windows Filtering Platform provider has been changed.
6327,Быстрый поиск вирусов
5494,The following filter was present when the Windows Filtering Platform Base Filtering Engine started.
5022,The following provider was present when the Windows Filtering Platform Base Filtering Engine started.
4921,The following sub-layer was present when the Windows Filtering Platform Base Filtering Engine started.
4822,A user's local group membership was enumerated.
4572,The workstation was locked.
4439,The workstation was unlocked.
4367,A scheduled task was disabled.
4070,Добавление ключа
3950,A Kerberos service ticket was renewed.
3903,A scheduled task was enabled.
3720,A registry value was modified.
3565,Контроль устройств
3511,An attempt was made to create a hard link.
3343,Именованный канал IPC PowerShell
3278,A Windows Filtering Platform provider context has been changed.
2916,An Active Directory replica destination naming context was modified.
2749,The system time was changed.
2489,User initiated logoff
2214,Windows Firewall Group Policy settings has changed. The new settings have been applied.
1955,A notification package has been loaded by the Security Account Manager.
1913,Поиск уязвимостей и требуемых обновлений
1897,R110_Использование подозрительных опций в командах PowerShell
1880,A rule has been ignored by Windows Firewall because it could not parse the rule.
1663,One or more errors occurred while processing security policy in the group policy objects.
1574,Инвентаризация
1500,Vault credentials were read.
1419,R110_01_Использование подозрительных опций в командах PowerShell
1377,Подключиться
1248,The Windows Firewall Service has started successfully.
1242,The Windows Firewall Driver has started successfully.
1235,The Per-user audit policy table was created.
1233,IPsec Services has started successfully.
1229,Windows is starting up.
1226,The following policy was active when the Windows Firewall started.
1223,Защита от веб-угроз
1214,Защита от файловых угроз
1207,An authentication package has been loaded by the Local Security Authority.
1206,Защита от сетевых угроз
1194,Защита от эксплойтов
1189,Сетевой экран
1185,Анализ поведения
1134,Boot Configuration Data loaded.
1112,Защита от почтовых угроз
1089,Завершение работы службы
1080,Поиск вирусов
1032,Resource attributes of the object were changed.
986,Контроль приложений
963,AMSI-защита
920,An attempt was made to register a security event source.
908,Security policy in the group policy objects has been applied successfully.
901,An attempt was made to unregister a security event source.
781,R406_01_Получение учетных данных через GUI-запросы (Windows)
781,R406_Получение учетных данных через GUI-запросы
776,Загрузка обновлений в хранилище
737,R060_Большое количество манипуляций с группами за короткий промежуток времени
712,A change has been made to Windows Firewall exception list. A rule was modified.
679,Other System Events
664,A primary token was assigned to process.
645,The following callout was present when the Windows Filtering Platform Base Filtering Engine started.
632,A scheduled task was created.
620,A scheduled task was deleted.
588,Другие системные события
527,Удаленная установка программы KES 12.7 и KES 15.1
514,A session was disconnected from a Window Station.
494,R206_Обнаружен новый DHCP сервер
478,R110_03_Загрузка и выполнение кода на PowerShell
380,Обработка события
