Последние инциденты
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:23+03:00
[ТД] УАПО

No Data

Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:23+03:00
[ТД] УАПО

metric,value
3,R080_Всплеск заражений ВПО
1,R078_Обнаружено большое количество вредоносных объектов на одном хосте

Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:23+03:00
[ТД] УАПО

metric,value
2,Closed
2,In progress

Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:23+03:00
[ТД] УАПО

frequency,tenantID,tenantName,id,displayName,criticality
2,157ef54a-c050-43ec-9771-81b705998d10,[ТД] УАПО,81fae06f-41aa-4d65-a0dd-11c9e99f429e,SR-UAPO-015,1

Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:23+03:00
[ТД] УАПО

No Data

Последние 10 алертов
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:23+03:00
[ТД] УАПО

priority,correlationRuleName,id,firstSeen,status,userName,tenantName,tenantID,name,severity
2,R078_Обнаружено большое количество вредоносных объектов на одном хосте,1931d7bc-332f-4011-b6d9-6ec79506df95,2025-04-24T14:28:38+03:00,In progress,Руслан Яргаев,[ТД] УАПО,157ef54a-c050-43ec-9771-81b705998d10,R078_Обнаружено большое количество вредоносных объектов на одном хосте,Medium
2,R080_Всплеск заражений ВПО,485aa2d0-ac18-48f8-98c2-ad2684de065d,2025-04-24T13:03:57+03:00,In progress,Руслан Яргаев,[ТД] УАПО,157ef54a-c050-43ec-9771-81b705998d10,R080_Всплеск заражений ВПО,Medium

"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T15:58:23+03:00
[ТД] УАПО

metric,value
1687459,
71118,Установка обновлений (конвертированная)
25100,Защита
21171,Веб-Контроль
18132,Быстрый поиск вирусов (конвертированная) в 10 утра
16583,Контроль устройств
9689,Поиск уязвимостей и требуемых обновлений
6491,Sysmon service state changed
5170,Обновление хром от 11 апреля
5145,Обновление Хром от 4 апреля
4873,Защита от сетевых угроз
4650,Защита от веб-угроз
4464,Защита от файловых угроз
4446,Закрытие уязвимостей браузера Mozilla Firefox (каждую среду в 13 10)
4430,Адаптивный контроль аномалий
4367,Предотвращение вторжений
4333,Анализ поведения
4330,Сетевой экран
4326,Защита от эксплойтов
4315,Защита от почтовых угроз
4290,Закрытие уязвимостей браузера Google Chrome (каждый вторник в 10 30)
4270,Обновление Хром х64 от 4 апреля
3808,Обновление
3377,Обновление мозила от10 апреля
3354,Обновление мозила от 21 апреля
3282,Обновление мозила от 10 апреля 32
3271,Обновление мозила 64 от 21 апреля
3252,Обновление Mozila от 4 апреля
3235,Обновление хром x64 т 11 апреля
3122,Обновление Акробат от 21 апреля
3023,Обновление аимп от 21 апреля
2210,Image loaded
1880,Started invocation of ScriptBlock
1629,Полная антивирусная проверка (вторник 11 утра)
1615,Закрытие уязвимостей Adobe (каждую пятницу 11 00)
1444,Закрытие уязвимостей PDF24 (Каждую среду в 11 00)
1404,Закрытие уязвимостей 7-Zip (каждый понедельник в 12 00)
1131,Закрытие уязвимостей WinRar (каждый четверг в 10 30)
983,Process terminated
785,The Federation Service stopped successfully
686,FileCreateStreamHash
588,Поиск вредоносного ПО
450,AMSI-защита
436,ServiceConfigurationChange
