"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:12+03:00
[ТМ] Завод Пластмасс

metric,value
74127413,
3586409,Credential Manager credentials were read.
2207165,The domain controller attempted to validate the credentials for an account.
1415043,An account was successfully logged on.
1365874,Started invocation of ScriptBlock
1364948,Completed invocation of ScriptBlock
1300234,Сведения о конвейерном выполнении
1281254,An account was logged off.
1082062,Жизненный цикл поставщика
973357,Command Invocation
687899,PipeEvent (Pipe Created)
635233,A Kerberos service ticket was requested.
594494,Image loaded
355766,Жизненный цикл обработчика
349765,Creating Scriptblock text
330889,Special privileges assigned to new logon.
325120,ServiceConfigurationChange
317979,Driver loaded
312828,Process creation
303560,A Kerberos authentication ticket (TGT) was requested.
287330,An account failed to log on.
279177,A new process has been created.
254266,Общие
225935,Вход
223739,Событие состояния службы
212818,Cryptographic operation.
212530,Key file operation.
189714,A security-enabled local group membership was enumerated.
167595,Windows PowerShell has started an IPC listening thread
158138,PowerShell console is starting up
157610,PowerShell console is ready for user input
118219,Auditing settings on object were changed.
116036,FileDeleteDetected (File Delete logged)
114566,Ведение журнала/Восстановление
102808,Key migration operation.
99914,FileBlockExecutable
98238,A user's local group membership was enumerated.
91785,События сбоев приложения
79609,The system is entering sleep
76704,Обновление
75607,PipeEvent (Pipe Connected)
74151,The process has initiated the power off of computer on behalf of user for the following reason
72889,ClipboardChange (New content in the clipboard)
72266,Ведение журнала и восстановление
66860,The system has resumed from sleep
59276,ProcessTampering (Process image change)
56523,FileCreate
49993,The operating system started at system time
42613,Повреждение базы данных
38192,A Kerberos service ticket was renewed.
37582,Служба поиска
36124,FileCreateStreamHash
34544,Установка или обновление драйверов устройств.
30337,A logon was attempted using explicit credentials.
29356,WmiEvent (WmiEventConsumer activity detected)
28796,A process changed a file creation time
28480,Read-only user password to expire shortly / Read-only user password expired
27883,A new service was installed in the system
25930,The kernel power manager has initiated a shutdown transition
23984,Веб-Контроль
22053,RegistryEvent (Value Set)
16140,Сервер
16084,LMS
14916,RegistryEvent (Key and Value Rename)
14547,Установка драйвера
13434,Sysmon service state changed
13346,An attempt was made to query the existence of a blank password for an account.
12489,Permissions on an object were changed.
12091,A scheduled task was updated.
11471,Миграция драйвера
11085,Поиск вредоносного ПО (Linux 12.0)
10199,R031_01_Вход с разных хостов на один Windows хост под одной учетной записью
9790,Modifying activity Id and correlating
9273,Installation or update of device drivers.
9047,An operation was performed on an object.
8453,File_Threat_Protection
7772,Vault credentials were read.
7227,Network connection
6795,Агент Центра обновления Windows
6782,Средство сбора данных
6679,Поиск вредоносного ПО
6120,R281_01_Установка сервиса не из системной директории
5898,Кэширование страниц базы данных
5886,Обновление (Linux 12.1)
5885,R281_02_Установка нового сервиса из общедоступной директории
5717,CreateRemoteThread
5408,The system time was changed.
5097,Добавление ключа
4760,Process terminated
4673,The log file was cleared
4582,Драйвер
4525,Device_Control
4522,Windows Firewall did not apply the following rule
4306,Запуск отражателя UMDF
3968,Защита от сетевых угроз
3632,WmiEvent (WmiEventFilter activity detected)
3261,The Per-user audit policy table was created.
3210,Windows is starting up.
3173,Windows PowerShell ISE has started to run script file
3171,The Windows Firewall Driver has started successfully.
3152,The Windows Firewall Service has started successfully.
2933,A new external device was recognized by the system.
2881,Windows PowerShell ISE is stopping the current command
2843,Web_Threat_Protection
2679,Резервное копирование
2669,Поиск уязвимостей и требуемых обновлений
2511,Защита
2207,License
2204,ProcessAccess
2098,Network_Threat_Protection
2051,Error Message
2043,Behavior_Detection
2001,Code integrity determined that the image hash of a file is not valid
1982,Обновление баз программы
1938,FileExecutableDetected
1936,A cryptographic self test was performed.
1912,Другие системные события
1894,Инвентаризация
1878,Выполнение службы
1868,R077_Обнаружено вредоносное ПО
1868,R077_02_KSC. Обнаружено вредоносное ПО
1781,Поиск вредоносного ПО (Linux 12.1)
1741,A user account was locked out.
1678,R081_02_KSC. Повторное заражение ВПО
1646,The state of a transaction has changed.
1597,An attempt was made to register a security event source.
1596,Теневое копирование
1574,An attempt was made to unregister a security event source.
1464,MALWAREPROTECTION_SCAN_COMPLETED
1413,The file could be improperly signed without page hashes or corrupt due to unauthorized modification.
1294,Защита от файловых угроз
1245,Инициализация CLR
1235,The event logging service has shut down
1101,TM
1073,Добавление ключа (Linux 12.1)
1022,События диагностики исчерпания ресурсов
1008,A rule was listed when the Windows Firewall started.
854,Startup of the UMDF reflector
717,Other System Events
714,Служба событий
714,Boot Configuration Data loaded.
710,A primary token was assigned to process.
689,Обновление (Linux 12.0)
650,RawAccessRead
618,Update
605,Быстродействие
600,An attempt was made to access an object.
581,A computer account was changed.
545,MALWAREPROTECTION_ANTISPYWARE_DISABLED
473,Обработка события
470,Unprotection of auditable protected data was attempted.
377,Отсутствует
346,Контроль устройств
320,Контроль приложений
309,DNSEvent (DNS query)
308,Загрузка обновлений в хранилище Сервера администрирования
288,A user account was changed.
250,Event Service
243,An attempt was made to change an account's password.
233,R407_Обнаружение следов возможного перехвата вводимых данных
233,R407_02_Обнаружение троянов-шпионов
231,Защита от почтовых угроз
227,User initiated logoff
215,Управление
210,Настройка драйвера после установки
208,Удаленная деинсталляция программы (4)
200,Диагностика успешно завершена
199,UNS
177,Управление защитой
171,SVC
171,Сведения о классе модуля поддержки
168,A change has been made to Windows Firewall exception list. A rule was modified.
166,Установка NetAgent_14.2.0.26967
154,Запуск службы
146,%1
144,FileBlockShredding
136,Удаленная деинсталляция программы (1)
128,Оперативная дефрагментация
124,Удаленная деинсталляция программы
122,"Определение таблицы, столбца, индекса"
109,Creating RunspacePool object
109,Logon Cache
106,Удаленная деинсталляция программы 7Zip 23.01
101,Удаленная деинсталляция программы 7Zip 24.07
101,Установка Kaspersky Endpoint Security для Windows (12.7.0) (Русский) (Lite encryption)_12. (1)
92,A scheduled task was created.
91,A scheduled task was deleted.
90,Служба лицензирования служб терминалов запущена.
90,Opening RunspacePool
88,Кэш входов
76,Установка Kaspersky Endpoint Security для Windows (12.7.0) (Русский) (Lite encryption)_12. (3)
72,Сведения ОС
71,Windows Firewall has changed the active profile.
70,Установка Kaspersky Endpoint Security для Windows (12.7.0) (Русский) (Lite encryption)_12. (4)
69,Установка Kaspersky Endpoint Security для Windows (12.7.0) (Русский) (Lite encryption)_12. (5)
68,Неполадки с драйверами пользовательского режима.
61,Проверка по требованию
60,Установка Kaspersky Endpoint Security для Windows (12.7.0) (Русский) (Lite encryption)_12. (2)
60,A registry value was modified.
60,Файловый Антивирус
59,Сведения для установки
59,Security policy in the group policy objects has been applied successfully.
58,Удаленная деинсталляция программы (2)
58,Инициализация/Завершение
57,Установка 7-z_24.09-x64 (1)
57,FileDelete (File Delete archived)
57,The workstation was locked.
56,The workstation was unlocked.
56,An attempt was made to reset an account's password.
55,Обновление11
50,Сервис
48,Активация программы
48,R401_Попытка обращения на запрещенный ресурс не из браузера
47,Страничное кэширование базы данных
41,Установка Kaspersky Endpoint Security для Windows (12.7.0) (Русский) (Lite encryption)_12. (6)
41,Удаленная деинсталляция программы 7Zip 19.00
41,Добавление ключа 11
40,Установка драйвера.
39,Настройка драйвера после установки.
38,Recovery of data protection master key was attempted.
37,Обновлениt 15
32,The security log is now full
31,Проверка завершена с ошибкой
31,Установка Kaspersky Endpoint Security для Windows (12.7.0) (Русский) (Lite encryption)_12. (9)
29,NTLM Authentication
28,A change has been made to Windows Firewall exception list. A rule was added.
28,"Журнал ""TaskScheduler/Operational"" был отключен"
28,A change has been made to Windows Firewall exception list. A rule was deleted.
27,R055_Изменение группы в ОС Windows подозрительным пользователем
27,Защита от веб-угроз
26,R080_02_KSC. Всплеск заражений ВПО
26,WmiEvent (WmiEventConsumerToFilter activity detected)
26,R080_Всплеск заражений ВПО
24,Ошибка настройки планировщика обслуживания
24,Установка Kaspersky Endpoint Security для Windows (12.7.0) (Русский) (Lite encryption)_12. (10)
24,Исправность поставщика
24,Установка Kaspersky Endpoint Security для Windows (12.7.0) (Русский) (Lite encryption)_12. (20)
24,Установка Kaspersky Endpoint Security для Windows (12.7.0) (Русский) (Lite encryption)_12. (17)
24,Добавление ключа 13
24,Установка Kaspersky Endpoint Security для Windows (12.7.0) (Русский) (Lite encryption)_12. (22)
24,A user account was enabled.
23,A member was added to a security-enabled local group.
23,Установка Kaspersky Endpoint Security для Windows (12.7.0) (Русский) (Lite encryption)_12. (13)
22,The Federation Service stopped successfully
22,Creating Runspace object
22,Web Control
22,Protection
22,Установка YandexBrowser для Windows x86 v24.10.4.825 от 25 декабря 2024
21,R051_Учетная запись была добавлена в группу подозрительным пользователем
21,Установка

Последние инциденты
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:12+03:00
[ТМ] Завод Пластмасс

name,priority,status,id,severity,tenantName,tenantID,createdAt
R035_Возможный подбор пароля методом перебора учетных записей,1,1,INC-404,Low,[ТМ] Завод Пластмасс,356c4255-3a58-47ac-b5c3-c5385646d684,2025-04-18T13:51:03+03:00

Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:12+03:00
[ТМ] Завод Пластмасс

No Data

Последние 10 алертов
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:12+03:00
[ТМ] Завод Пластмасс

name,status,userName,priority,tenantID,severity,id,tenantName,correlationRuleName,firstSeen
R078_Обнаружено большое количество вредоносных объектов на одном хосте,In progress,Руслан Яргаев,2,356c4255-3a58-47ac-b5c3-c5385646d684,Medium,33fd9d2a-ed69-4245-aee2-5e68bcbf07a4,[ТМ] Завод Пластмасс,R078_Обнаружено большое количество вредоносных объектов на одном хосте,2025-04-24T13:46:40+03:00
R407_Обнаружение следов возможного перехвата вводимых данных,In progress,Руслан Яргаев,2,356c4255-3a58-47ac-b5c3-c5385646d684,Medium,f7bea487-9fdf-4649-965b-f731979748f2,[ТМ] Завод Пластмасс,R407_Обнаружение следов возможного перехвата вводимых данных,2025-04-24T13:46:40+03:00
