Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:04+03:00
[ТМ] КМЗ

value,metric
Closed,25
New,5

Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:04+03:00
[ТМ] КМЗ

No Data

Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:04+03:00
[ТМ] КМЗ

tenantName,id,displayName,criticality,frequency,tenantID
[ТМ] КМЗ,8b50966c-a576-4688-b302-7f9a294b5700,SRV-APP-01,1,1,2e1e2ace-2778-4dc5-9755-b79d2ac32087

"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:04+03:00
[ТМ] КМЗ

metric,value
32625747,
14612175,An account was successfully logged on.
13603645,An account was logged off.
6744881,path
5657268,The domain controller attempted to validate the credentials for an account.
5321875,execve
3780922,Special privileges assigned to new logon.
1918002,A token right was adjusted.
1022955,Credential Manager credentials were read.
978205,A logon was attempted using explicit credentials.
875241,open
749886,A Kerberos service ticket was requested.
640786,setgid
636256,Auditing settings on object were changed.
570555,setuid
338291,A Kerberos authentication ticket (TGT) was requested.
289536,A security-enabled local group membership was enumerated.
269665,Creating Scriptblock text
266558,A new process has been created.
255334,A process has exited.
207609,An account failed to log on.
203408,События сбоев приложения
110148,Kerberos pre-authentication failed.
106457,R031_01_Вход с разных хостов на один Windows хост под одной учетной записью
91480,Агент Центра обновления Windows
73500,mknodat
71289,Жизненный цикл поставщика
51020,Image loaded
48053,Driver loaded
42928,Sysmon service state changed
42415,Событие состояния службы
42191,A security-enabled local group was changed.
39041,Process creation
38428,Modifying activity Id and correlating
36848,capset
36312,write
36004,Cryptographic operation.
35733,Key file operation.
34173,Ведение журнала/Восстановление
33320,Сервер
26194,FileDeleteDetected (File Delete logged)
24793,ServiceConfigurationChange
22977,Жизненный цикл обработчика
19574,Key migration operation.
18404,The process has initiated the power off of computer on behalf of user for the following reason
18043,The operating system started at system time
17072,Общие
13269,The system time was changed.
13245,A user's local group membership was enumerated.
11770,Runspace state changed
10543,Служба поиска
9385,The kernel power manager has initiated a shutdown transition
9346,Windows PowerShell has started an IPC listening thread
8893,Vault credentials were read.
8868,PowerShell console is starting up
8797,RegistryEvent (Value Set)
8714,PowerShell console is ready for user input
8613,Ведение журнала и восстановление
8344,openat
8136,Анализ поведения
8114,Обновление
8092,An attempt was made to query the existence of a blank password for an account.
7450,A Kerberos service ticket was renewed.
7327,A process changed a file creation time
7041,sendto
7038,sendmsg
6582,The system is entering sleep
6400,ClipboardChange (New content in the clipboard)
6168,Защита
6039,Загрузка обновлений в хранилище Сервера администрирования
6032,An operation was performed on an object.
5759,FileCreate
5647,The system has resumed from sleep
5595,WmiEvent (WmiEventFilter activity detected)
5439,umount2
4654,PipeEvent (Pipe Connected)
4637,FileBlockExecutable
4614,Установка или обновление драйверов устройств.
3716,WmiEvent (WmiEventConsumer activity detected)
3455,Контроль устройств
3323,User initiated logoff
3313,readlink
3306,Установка Kaspersky Endpoint Security для Windows (12.8.0) (12.8.0.505) (3)
3210,A new external device was recognized by the system.
3205,Средство сбора данных
2959,Creating RunspacePool object
2955,Creating Runspace object
2955,Opening RunspacePool
2602,FileExecutableDetected
2457,FileCreateStreamHash
2331,LMS
2184,promiscuous mode
1940,A new service was installed in the system
1877,ProcessTampering (Process image change)
1849,PipeEvent (Pipe Created)
1774,The Per-user audit policy table was created.
1773,The Windows Firewall Driver has started successfully.
1770,Windows is starting up.
1759,The Windows Firewall Service has started successfully.
1735,Поиск уязвимостей и требуемых обновлений
1597,Установка драйвера
1572,The file could be improperly signed without page hashes or corrupt due to unauthorized modification.
1441,Миграция драйвера
1373,Установка Kaspersky Endpoint Security для Windows (12.8.0) (12.8.0.505) (2)
1368,An attempt was made to register a security event source.
1326,bpf
1287,An attempt was made to unregister a security event source.
1112,The event logging service has shut down
1070,setregid
991,unlink
956,Process terminated
940,File_Threat_Protection
927,Boot Configuration Data loaded.
923,R223_Сбор информации о процессах
923,R223_02_Сбор информации о процессах стандартными средствами Windows
902,RegistryEvent (Key and Value Rename)
889,A primary token was assigned to process.
881,Резервное копирование
835,setreuid
832,Запуск отражателя UMDF
807,Поиск вредоносного ПО
774,A user account was changed.
744,The System log file was cleared
740,MALWAREPROTECTION_SIGNATURE_UPDATED
727,Драйвер
692,Other System Events
649,R281_02_Установка нового сервиса из общедоступной директории
554,Другие системные события
540,R081_02_KSC. Повторное заражение ВПО
531,removexattr
490,A computer account was changed.
476,R077_Обнаружено вредоносное ПО
476,R077_02_KSC. Обнаружено вредоносное ПО
454,A trusted logon process has been registered with the Local Security Authority.This logon process will be trusted to submit logon requests.
452,Firewall_Management
442,sethostname
436,R281_01_Установка сервиса не из системной директории
408,TM
403,Network connection
401,Read-only user password to expire shortly / Read-only user password expired
342,Кэш входов
320,Обработка события
303,CreateRemoteThread
280,%1
278,A cryptographic self test was performed.
274,A rule was listed when the Windows Firewall started.
274,Driver
268,A service was installed in the system.
249,chmod
223,fsetxattr
218,DNSEvent (DNS query)
202,An attempt was made to reset an account's password.
198,Update
186,Installation or update of device drivers.
182,Unprotection of auditable protected data was attempted.
178,ssh login
170,ssh logout
169,Система событий
163,ssh logout timeout
159,Установка
158,Windows PowerShell ISE has started to run script file
153,MALWAREPROTECTION_SCAN_COMPLETED
146,setxattr
145,События диагностики исчерпания ресурсов
143,R058_01_Локальная учетная запись в ОС Windows была создана подозрительным пользователем
143,A user account was created.
142,R058_Локальная учетная запись была создана подозрительным пользователем
126,Device_Control
125,An attempt was made to change an account's password.
119,chown
119,Windows PowerShell ISE is stopping the current command
109,MALWAREPROTECTION_SCAN_STARTED
104,Behavior_Detection
102,R061_04_Для учетной записи установлен бессрочный пароль
100,A security package has been loaded by the Local Security Authority.
94,Network_Threat_Protection
86,R055_Изменение группы в ОС Windows подозрительным пользователем
86,Защита от файловых угроз
85,Проверка важных областей
