Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:48+03:00
[ТМ] Ново-Вятка

metric,value
53,Closed
8,New
1,In progress

"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T16:01:48+03:00
[ТМ] Ново-Вятка

metric,value
140104871,
64792693,The handle to an object was closed.
39660120,log
32841117,An attempt was made to duplicate a handle to an object.
32214344,A handle to an object was requested.
27919380,nat
12855510,An account was successfully logged on.
12678117,An account was logged off.
4967001,An attempt was made to access an object.
4101060,A network share object was checked to see whether client can be granted desired access
4072606,Жизненный цикл поставщика
3471777,firewall
3376766,path
3328503,execve
1746328,Modifying activity Id and correlating
1222804,Жизненный цикл обработчика
1063139,A Kerberos service ticket was requested.
964989,A new process has been created.
938829,A logon was attempted using explicit credentials.
916910,A process has exited.
851896,Special privileges assigned to new logon.
788481,PowerShell console is starting up
780455,PowerShell console is ready for user input
763002,The domain controller attempted to validate the credentials for an account.
742141,Windows PowerShell has started an IPC listening thread
614853,Process creation
549979,setuid
399651,ServiceConfigurationChange
398133,Driver loaded
390358,A network share object was accessed
246768,Creating Scriptblock text
226106,Событие состояния службы
215521,Credential Manager credentials were read.
187885,Общие
185360,Защита от сетевых угроз
174785,A Kerberos authentication ticket (TGT) was requested.
174142,ClipboardChange (New content in the clipboard)
147000,События сбоев приложения
145912,Error Message
142851,The system is entering sleep
141427,The system has resumed from sleep
105368,FileBlockExecutable
96430,PipeEvent (Pipe Connected)
89954,A handle to an object was requested with intent to delete.
87122,The process has initiated the power off of computer on behalf of user for the following reason
83297,ProcessTampering (Process image change)
72113,Ведение журнала и восстановление
68548,A Kerberos service ticket was renewed.
66049,FileDeleteDetected (File Delete logged)
65228,Image loaded
59422,Установка обновлений
56484,A new service was installed in the system
55038,WmiEvent (WmiEventConsumer activity detected)
54832,The operating system started at system time
54101,RegistryEvent (Key and Value Rename)
50788,The system time was changed.
48338,A process changed a file creation time
46330,R031_01_Вход с разных хостов на один Windows хост под одной учетной записью
45339,Ведение журнала/Восстановление
40323,A scheduled task was updated.
37340,A security-enabled local group membership was enumerated.
36920,Permissions on an object were changed.
31819,The kernel power manager has initiated a shutdown transition
29428,RegistryEvent (Value Set)
26688,Auditing settings on object were changed.
24990,setgid
24458,openat
23634,System Integrity
23223,Инвентаризация
22371,Добавление ключа
22345,Runspace state changed
19830,Служба поиска
19318,Средство сбора данных
16167,FileCreateStreamHash
14438,LMS
13948,FileCreate
13691,Сервер
13132,Cryptographic operation.
13046,Key file operation.
10702,MALWAREPROTECTION_SCAN_STARTED
10090,An operation was performed on an object.
8193,R225_01_Подозрительный доступ к учетным данным веб-браузера
