Последние инциденты
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:18+03:00
[ТМ] Полимер

No Data

Последние 10 алертов
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:18+03:00
[ТМ] Полимер

firstSeen,userName,severity,tenantID,name,tenantName,correlationRuleName,status,priority,id
2025-04-24T02:05:15+03:00,,Medium,f0ffa808-1c3e-43c3-8a54-aeb8afd38747,R282_Остановка сервиса через CLI,[ТМ] Полимер,R282_Остановка сервиса через CLI,New,2,64109525-33bf-4554-99b5-9400869fbf46
2025-04-23T15:29:43+03:00,,High,f0ffa808-1c3e-43c3-8a54-aeb8afd38747,R084_Использование ПО для удаленного администрирования,[ТМ] Полимер,R084_Использование ПО для удаленного администрирования,New,3,2d0d1e3c-b4e8-443b-a032-b63ff5fdc1c1
2025-04-21T16:25:35+03:00,,Medium,f0ffa808-1c3e-43c3-8a54-aeb8afd38747,R110_Использование подозрительных опций в командах PowerShell,[ТМ] Полимер,R110_Использование подозрительных опций в командах PowerShell,New,2,cf6c9df4-76bc-451f-9369-4615cb74d846
2025-04-18T14:42:20+03:00,Роман Рыжиков,High,f0ffa808-1c3e-43c3-8a54-aeb8afd38747,R084_Использование ПО для удаленного администрирования,[ТМ] Полимер,R084_Использование ПО для удаленного администрирования,In progress,3,fdfc7ebf-ed36-477a-bf05-2cec3dd9deca
2025-04-18T09:41:29+03:00,,Low,f0ffa808-1c3e-43c3-8a54-aeb8afd38747,R082_Обнаружение туннелирования трафика,[ТМ] Полимер,R082_Обнаружение туннелирования трафика,New,1,5a8d47fc-29c7-499c-a629-dca7876dc31d
2025-04-07T23:23:43+03:00,,Low,f0ffa808-1c3e-43c3-8a54-aeb8afd38747,R224_Сбор информации о системе,[ТМ] Полимер,R224_Сбор информации о системе,New,1,3a9356bf-50ed-4f57-a8ee-532261f4f389
2025-04-03T11:33:50+03:00,,High,f0ffa808-1c3e-43c3-8a54-aeb8afd38747,R290_Запуск скриптов из общедоступной директории,[ТМ] Полимер,R290_Запуск скриптов из общедоступной директории,New,3,0cfd8ed8-144a-4ee6-982c-e8059a0f0612

Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:18+03:00
[ТМ] Полимер

No Data

Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:18+03:00
[ТМ] Полимер

metric,value
7,R282_Остановка сервиса через CLI
5,R084_Использование ПО для удаленного администрирования
3,R055_Изменение группы в ОС Windows подозрительным пользователем
3,R302_Манипуляции с атрибутами файла
3,R291_Вызов внешних ресурсов для системных приложений Windows
3,R051_Учетная запись была добавлена в группу подозрительным пользователем
3,"R288_Манипуляции с файлами, имеющими нестандартные расширения"
2,R290_Запуск скриптов из общедоступной директории
2,R099_Манипуляции с задачами по расписанию
1,R053_Создание группы на Windows системе подозрительным пользователем
1,R224_Сбор информации о системе
1,"R402_Успешная доставка письма от внешнего отправителя, письма которого ранее блокировались"
1,R060_Большое количество манипуляций с группами за короткий промежуток времени
1,R054_Удаление группы в ОС Windows подозрительным пользователем
1,R110_Использование подозрительных опций в командах PowerShell
1,R082_Обнаружение туннелирования трафика
1,R052_Учетная запись была удалена из группы подозрительным пользователем
1,R406_Получение учетных данных через GUI-запросы

Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:18+03:00
[ТМ] Полимер

metric,value
33,Closed
6,New
1,In progress

Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:18+03:00
[ТМ] Полимер

frequency,tenantID,tenantName,id,displayName,criticality
2,f0ffa808-1c3e-43c3-8a54-aeb8afd38747,[ТМ] Полимер,add61080-962d-4fa4-9861-8d97d01ad5d4,SPEC-BD,1
1,f0ffa808-1c3e-43c3-8a54-aeb8afd38747,[ТМ] Полимер,2773250f-5446-4665-b3c9-72c41b5aa964,BUH-ZAM,1
1,f0ffa808-1c3e-43c3-8a54-aeb8afd38747,[ТМ] Полимер,198a6823-9342-41cb-b4dd-944df3d08e5e,OTIZ-S,1
1,f0ffa808-1c3e-43c3-8a54-aeb8afd38747,[ТМ] Полимер,8fac3995-243e-4279-b3d6-dc997b9dc321,SQL1CPLMR,1
1,f0ffa808-1c3e-43c3-8a54-aeb8afd38747,[ТМ] Полимер,8318dc2a-24a7-45c6-8b8b-7882d0d8d22a,TG-K,1

"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:18+03:00
[ТМ] Полимер

metric,value
22133285,ICAP message processed
9902140,
3692564,A new process has been created.
2724880,Provider Lifecycle
1153614,A privileged service was called.
1109231,An account was successfully logged on.
969739,An account was logged off.
828274,Engine Lifecycle
633085,Permissions on an object were changed.
626577,Creating Scriptblock text
407101,An operation was performed on an object.
392427,Windows Firewall did not apply the following rule
391681,Credential Manager credentials were read.
373325,A scheduled task was updated.
321278,An attempt was made to access an object.
295343,PowerShell console is starting up
295341,PowerShell console is ready for user input
294816,Windows PowerShell has started an IPC listening thread
281233,A rule was listed when the Windows Firewall started.
255285,Special privileges assigned to new logon.
182830,Общие
152712,The Password Policy Checking API was called.
148748,A Kerberos service ticket was requested.
144002,A new external device was recognized by the system.
137506,A Kerberos authentication ticket (TGT) was requested.
101298,Error Message
69018,Driver loaded
56366,A security-enabled local group membership was enumerated.
54308,Image loaded
42739,A user's local group membership was enumerated.
40917,Process creation
39912,Событие состояния службы
35164,Установка обновлений KES 11
27293,An operation was attempted on a privileged object.
24858,Обновление
22747,FileDeleteDetected (File Delete logged)
21616,A change has been made to Windows Firewall exception list. A rule was deleted.
21200,A change has been made to Windows Firewall exception list. A rule was added.
20269,A logon was attempted using explicit credentials.
20110,The state of a transaction has changed.
19700,R031_01_Вход с разных хостов на один Windows хост под одной учетной записью
18303,The process has initiated the power off of computer on behalf of user for the following reason
17927,av scan result
17923,mlf scan result
17923,ma scan result
17923,ap scan result
17923,as scan result
17921,kt scan status
17630,Key file operation.
16989,An object was deleted.
16853,A trusted logon process has been registered with the Local Security Authority.This logon process will be trusted to submit logon requests.
16146,cf scan status
15976,A service was installed in the system.
14722,ProcessAccess
13202,A handle to an object was requested with intent to delete.
12463,A security package has been loaded by the Local Security Authority.
11916,The log file was cleared
11142,Ведение журнала/Восстановление
10713,Защита от файловых угроз
10681,Поиск вредоносного ПО (Полная проверка)
10461,The operating system started at system time
9660,Обновление KESL 11.4
9656,The kernel power manager has initiated a shutdown transition
9616,Key migration operation.
9611,FileBlockExecutable
9568,A member was removed from a security-enabled local group.
9568,A security-enabled local group was changed.
9568,A member was added to a security-enabled local group.
9142,RegistryEvent (Value Set)
8733,Веб-Контроль
8340,Sysmon service state changed
8312,Кэш входов
7767,A process changed a file creation time
7091,The domain controller attempted to validate the credentials for an account.
6432,Теневое копирование
5281,ServiceConfigurationChange
4978,Unprotection of auditable protected data was attempted.
4822,Проверка целостности системы
4252,Драйвер
3711,The workstation was locked.
3642,A registry value was modified.
3589,The workstation was unlocked.
3408,Databases and Modules Update for Kaspersky Endpoint Agent
2867,A Kerberos service ticket was renewed.
2782,Служба поиска
2591,Windows Firewall has changed the active profile.
2506,A notification package has been loaded by the Security Account Manager.
2484,A rule has been ignored by Windows Firewall because it could not parse the rule.
2316,An attempt was made to query the existence of a blank password for an account.
2006,Vault credentials were read.
1956,Anti-Phishing bases are up to date
1954,Anti-Phishing bases applied
1946,FileCreate
1931,Anti-Spam bases updated
1931,Anti-Spam bases are up to date
1930,Anti-Spam bases applied
1890,System_Integrity_Monitoring
1683,sudo used
1682,Kerberos pre-authentication failed.
1682,cmd execute
1671,sudo logout
1637,An account failed to log on.
1594,Оперативная дефрагментация
1536,Загрузка обновлений в хранилище Сервера администрирования
1459,Защита
1456,Modifying activity Id and correlating
1455,A new service was installed in the system
1317,nothing to update
1263,Защита от веб-угроз
1263,Защита от эксплойтов
1263,Предотвращение вторжений
1262,Анализ поведения
1262,Адаптивный контроль аномалий
1262,Защита от почтовых угроз
1262,Защита от сетевых угроз
1261,Endpoint Detection and Response
1260,User initiated logoff
1237,The Windows Firewall Driver has started successfully.
1237,The Windows Firewall Service has started successfully.
1237,The following policy was active when the Windows Firewall started.
1237,The Per-user audit policy table was created.
1237,An authentication package has been loaded by the Local Security Authority.
1236,Windows is starting up.
1220,Выполнение службы
1197,Ведение журнала и восстановление
1191,The event logging service has shut down
1180,The system time was changed.
1171,Anti-Virus bases are up to date
1169,Anti-Virus bases applied
1168,File_Threat_Protection
1111,Anti-Phishing bases updated
1038,PipeEvent (Pipe Connected)
933,Сервер
916,Resource attributes of the object were changed.
913,A primary token was assigned to process.
906,Контроль устройств
885,WmiEvent (WmiEventConsumer activity detected)
859,Anti-Virus bases updated
846,ClipboardChange (New content in the clipboard)
827,Boot Configuration Data loaded.
805,Запуск отражателя UMDF
794,AMSI-защита
780,Поиск уязвимостей и требуемых обновлений
780,Быстрый поиск вирусов KES 11.8
755,Установка обновлений KWS 11
749,A scheduled task was created.
732,A scheduled task was deleted.
727,Поиск вредоносного ПО
700,Web_Threat_Protection
696,The Federation Service stopped successfully
660,R291_03_Вызов внешних ресурсов для системных приложений Windows (runll32)
635,WmiEvent (WmiEventFilter activity detected)
574,Network_Threat_Protection
558,Резервное копирование
513,Инвентаризация KES 12.3
490,Database backed up
489,Starting up database
470,R224_02_Сбор информации об удаленной системе стандартными средствами Windows
468,Behavior_Detection
457,"R283_01_Выполнение кода через приложения, использующие Chromium"
439,LMS
417,ProcessTampering (Process image change)
415,R084_Использование ПО для удаленного администрирования
415,R084_01_Использование ПО для удаленного администрирования (cmd)
381,Средство сбора данных
379,Removable_Drives_Scan
374,RegistryEvent (Key and Value Rename)
333,message backup result
331,Полная проверка
311,Device_Control
297,R296_04_Подозрительные аргументы при запуске Msiexec.exe
297,R281_01_Установка сервиса не из системной директории
295,An attempt was made to register a security event source.
295,An attempt was made to unregister a security event source.
294,Network connection
293,R288_02_Исполнение файла с неисполняемым расширением
271,A scheduled task was disabled.
268,ssh login
265,ssh logout
244,A change has been made to Windows Firewall exception list. A rule was modified.
232,Проверка важных областей KESL 11.4
229,ssh logout timeout
224,Process terminated
221,Вход
210,A scheduled task was enabled.
202,"R296_12_Подозрительная загрузка DLL процессами regsvcs, regasm"
196,R281_02_Установка нового сервиса из общедоступной директории
195,command execute
173,Инвентаризация KESL 11.4
173,FileCreateStreamHash
167,R224_Сбор информации о системе
161,UNS
145,Агент Центра обновления Windows
144,A rule has been ignored because its major version number was not recognized by Windows Firewall.
141,The screen saver was invoked.
141,The screen saver was dismissed.
141,Login failed for user
141,Windows Firewall Group Policy settings has changed. The new settings have been applied.
124,Server local connection provider is ready to accept connection
118,Service endpoint is in disabled or stopped state
117,Transactions rolled back in database
116,Transactions rolled forward in database
103,A computer account was changed.
103,Recovery completed for database
99,События сбоев приложения
96,Установка или обновление драйверов устройств.
84,Recovery is writing a checkpoint in database
80,PipeEvent (Pipe Created)
78,TM
74,R099_Манипуляции с задачами по расписанию
73,Startup of the UMDF reflector
70,SQL Server Network Interface library could not register the Service Principal Name (SPN)
68,FileBlockShredding
68,A session was disconnected from a Window Station.
67,RawAccessRead
67,R293_01_Аномальное дерево процессов для Windows
67,Configuration option changed
65,Server name
65,Software Usage Metrics is disabled
65,Detected RAM
65,SQL Server detected sockets
65,SQL Server Audit has started the audits
65,The resource database build version
65,Service account
65,SQL Server Audit is starting the audits
65,Command Line Startup
65,Authentication mode
65,Logging SQL Server messages
65,This instance of SQL Server last reported using a process ID
65,A self-generated certificate was successfully loaded for encryption
65,Using conventional memory in the memory manager
65,Recovery is complete
65,Using dynamic lock allocation
65,SQL Server is starting
65,Microsoft SQL Server 2012 (SP1)
65,Node configuration
