Последние 10 алертов
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:41+03:00
[ТМ] Сигнал

name,firstSeen,status,userName,priority,severity,tenantID,id,tenantName,correlationRuleName
R224_Сбор информации о системе,2025-04-23T14:02:59+03:00,New,,1,Low,3dcb34cc-1ff5-4491-806d-f65173b896b2,dc405c4d-d3ed-43ae-acd6-ea9a2051abfd,[ТМ] Сигнал,R224_Сбор информации о системе
R061_Действия над учетной записью,2025-04-22T11:53:32+03:00,New,,1,Low,3dcb34cc-1ff5-4491-806d-f65173b896b2,bfed904e-69f0-4a5c-b279-9fa579e737a5,[ТМ] Сигнал,R061_Действия над учетной записью
R071_Получен доступ к ADMIN$,2025-04-18T12:15:47+03:00,New,,3,High,3dcb34cc-1ff5-4491-806d-f65173b896b2,dc4ac894-e45c-4fe8-a848-1c92703aeb1f,[ТМ] Сигнал,R071_Получен доступ к ADMIN$
R003_Удаленный вход под учетной записью локального администратора,2025-04-02T08:28:52+03:00,New,,1,Low,3dcb34cc-1ff5-4491-806d-f65173b896b2,01f564b6-64c1-4da7-8366-7ab5a7603ba0,[ТМ] Сигнал,R003_Удаленный вход под учетной записью локального администратора
R224_Сбор информации о системе,2025-04-01T18:32:32+03:00,In incident,Александра Зейферт,1,Low,3dcb34cc-1ff5-4491-806d-f65173b896b2,e4da7686-b3fa-404c-8c6a-4c0b15e1c1fa,[ТМ] Сигнал,R224_Сбор информации о системе

"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T16:02:41+03:00
[ТМ] Сигнал

metric,value
2665245848,The Windows Filtering Platform has allowed a connection.
168825899,A token right was adjusted.
128639297,A network share object was deleted.
77646043,The handle to an object was closed.
41712061,The Windows Filtering Platform has permitted a bind to a local port.
39260935,A handle to an object was requested.
38400052,An attempt was made to duplicate a handle to an object.
19852586,The domain controller attempted to validate the credentials for an account.
14436907,An account was successfully logged on.
12771480,Group membership information.
11226161,An account was logged off.
10285123,An account failed to log on.
7767284,
6572157,A Kerberos service ticket was requested.
2585642,Special privileges assigned to new logon.
1783195,redential Manager credentials were read.
1413787,Share Information:Share Name
1099379,Вход
995491,An attempt was made to access an object.
854577,The Password Policy Checking API was called.
518734,A logon was attempted using explicit credentials.
516822,A Kerberos authentication ticket (TGT) was requested.
479517,A new process has been created.
468131,A process has exited.
467682,Сведения о конвейерном выполнении
466015,Выполнение конвейера
222987,Жизненный цикл поставщика
207775,Key file operation.
207708,Cryptographic operation.
182530,The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.
180348,Permissions on an object were changed.
141524,An operation was attempted on a privileged object.
132640,Подключиться
103987,Key migration operation.
99642,A network share object was checked to see whether client can be granted desired access
96572,Kerberos pre-authentication failed.
89264,События сбоев приложения
67505,Запуск команды
67501,Остановка команды
61879,A scheduled task was updated.
59171,A security-enabled local group membership was enumerated.
48614,An object was deleted.
46923,Auditing settings on object were changed.
38109,Агент Центра обновления Windows
35103,A Kerberos service ticket was renewed.
