Общее количество алертов и их статусы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:44:09+03:00
Технодинамика

metric,value
14,Closed
2,New

Распределение алертов по правилам корреляции
2025-04-01T00:00:00+03:00 - 2025-04-24T15:44:09+03:00
Технодинамика

metric,value
12,R219_Использование VPN портов
2,R080_Всплеск заражений ВПО
1,R060_Большое количество манипуляций с группами за короткий промежуток времени
1,R050_Очистка журнала событий Windows

Последние 10 алертов
2025-04-01T00:00:00+03:00 - 2025-04-24T15:44:09+03:00
Технодинамика

name,status,tenantName,firstSeen,severity,userName,tenantID,correlationRuleName,id,priority
R219_Использование VPN портов,New,Технодинамика,2025-04-24T15:28:17+03:00,Medium,,21c166b9-62f0-4a97-9928-2059a1e20b1e,R219_Использование VPN портов,76fca02a-715a-4137-a5b5-6606a5e6056d,2
R080_Всплеск заражений ВПО,New,Технодинамика,2025-04-03T13:01:47+03:00,Medium,,21c166b9-62f0-4a97-9928-2059a1e20b1e,R080_Всплеск заражений ВПО,d374d6d0-5251-469c-9eed-eec74083fa8b,2

Затронутые активы
2025-04-01T00:00:00+03:00 - 2025-04-24T15:44:09+03:00
Технодинамика

criticality,frequency,tenantID,tenantName,id,displayName
1,1,21c166b9-62f0-4a97-9928-2059a1e20b1e,Технодинамика,1203b96b-f25f-4a07-82d7-c1951d2c3e9e,DC-SR-FS02
1,1,21c166b9-62f0-4a97-9928-2059a1e20b1e,Технодинамика,e8d54eea-a791-41e8-86f3-06161f37c626,DC-SR-KES02
1,1,21c166b9-62f0-4a97-9928-2059a1e20b1e,Технодинамика,9873f37c-b987-485b-97f8-a48f494efdd0,NB-TS-006
1,1,21c166b9-62f0-4a97-9928-2059a1e20b1e,Технодинамика,853e7804-655b-49df-8dd8-1e27661ddc82,PC-TD-533
1,1,21c166b9-62f0-4a97-9928-2059a1e20b1e,Технодинамика,e71db2ee-dd3b-425f-bfba-193c6780fb87,TD-NB-050

Активы в инцидентах
2025-04-01T00:00:00+03:00 - 2025-04-24T15:44:09+03:00
Технодинамика

No Data

"Общее число событий, обработанных в текущем периоде"
2025-04-01T00:00:00+03:00 - 2025-04-24T15:44:09+03:00
Технодинамика

metric,value
9474558073,A privileged service was called.
168313344,A Windows Filtering Platform filter has been changed.
113489148,
53973076,Permissions on an object were changed.
46050135,Credential Manager credentials were read.
30912275,An account was successfully logged on.
22052967,An account was logged off.
17168112,A Windows Filtering Platform provider context has been changed.
14909797,A logon was attempted using explicit credentials.
11342168,Special privileges assigned to new logon.
9585341,Group membership information.
3148681,An account failed to log on.
2615490,The operating system started at system time
2224777,Windows Firewall did not apply the following rule
1980844,A security-enabled local group membership was enumerated.
1894139,Auditing settings on object were changed.
1712806,Cryptographic operation.
1710771,Key file operation.
976775,The state of a transaction has changed.
856371,A rule was listed when the Windows Firewall started.
816810,Key migration operation.
771780,Проверка объектов на карантине
543206,A change has been made to Windows Firewall exception list. A rule was added.
524862,Общие
513306,A change has been made to Windows Firewall exception list. A rule was deleted.
472110,as scan result
472058,mlf scan result
472056,ap scan result
472054,kt scan status
472054,av scan result
472054,ma scan result
470664,cf scan status
362260,IPsec received a packet from a remote computer with an incorrect Security Parameter Index (SPI)
350664,The domain controller attempted to validate the credentials for an account.
294384,A Windows Filtering Platform callout has been changed.
265116,Vault credentials were read.
263424,A trusted logon process has been registered with the Local Security Authority.This logon process will be trusted to submit logon requests.
233533,Process creation
210809,Windows Firewall has changed the active profile.
199952,R081_02_KSC. Повторное заражение ВПО
199923,R077_Обнаружено вредоносное ПО
199923,R077_02_KSC. Обнаружено вредоносное ПО
199208,A service was installed in the system.
169154,The system time was changed.
167402,The file could be improperly signed without page hashes or corrupt due to unauthorized modification.
149656,Sysmon service state changed
137701,ServiceConfigurationChange
137063,Обновление KES
105395,The following filter was present when the Windows Filtering Platform Base Filtering Engine started.
100108,The Federation Service stopped successfully
90431,A user's local group membership was enumerated.
88254,ClipboardChange (New content in the clipboard)
83551,The workstation was locked.
80083,The workstation was unlocked.
78110,The following callout was present when the Windows Filtering Platform Base Filtering Engine started.
75483,Resource attributes of the object were changed.
69157,An attempt was made to query the existence of a blank password for an account.
67240,IPsec dropped an inbound packet that failed a replay check.
67122,The system has resumed from sleep
63214,The system is entering sleep
57550,An operation was attempted on a privileged object.
57182,Driver loaded
54611,A new process has been created.
44651,PipeEvent (Pipe Connected)
41003,A security package has been loaded by the Local Security Authority.
39584,FileBlockExecutable
38847,Surprise Removal
34563,BINLSVC
32539,Ведение журнала и восстановление
31756,IPsec dropped an inbound packet that failed an integrity check.
